Job Title,Company,Location,Salary,Date,Job Link,Expire Date,Welfare,Job Description,Job Requirements,Job Level,Job Type,Experience,Industry
Underwriting Senior Expert Insurance Project,NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Hà Nội,Cạnh tranh,10-06-2025,https://careerviet.vn/vi/tim-viec-lam/underwriting-senior-expert-insurance-project.35C3DF37.html,09-07-2025,"['Chế độ bảo hiểm', 'Du Lịch', 'Chế độ thưởng']","Job Purpose The Underwriting Senior Expert will play a key role in the setup phase of a new life insurance company, focusing on developing underwriting guidelines, integrating data-driven risk assessment models, and enhancing the underwriting experience for customers. This role will require close collaboration with reinsurance partners, the product development team, IT, distribution teams at Techcombank, and third-party medical service providers. The Underwriting Senior Expert will also drive the integration of underwriting processes with Techcombank’s data ecosystem to create a seamless, efficient, and innovative underwriting experience. Key Responsibilities Underwriting Strategy & Guideline Development - Develop and implement underwriting guidelines that align with business strategy, regulatory requirements, and market trends. - Work closely with reinsurance companies to refine underwriting principles and establish risk selection criteria. - Collaborate with product development teams to design innovative underwriting solutions for new life insurance products. Collaboration with Techcombank & Distribution Teams - Engage with Techcombank’s distribution teams to understand customer risk profiles, sales needs, and underwriting support requirements. - Analyze customer financial and health risk data from the bank to tailor underwriting criteria to different customer segments. - Ensure underwriting processes align with the needs of bancassurance and agency distribution models. IT & Data Integration for Underwriting Innovation - Define business requirements for IT teams to develop underwriting platforms, automation tools, and AI-driven risk assessment models. - Oversee the integration of customer data between Techcombank and the insurance company to enable pre-approved underwriting and seamless customer onboarding. - Implement automated underwriting (AUW) systems to enhance efficiency and reduce manual underwriting efforts. Collaboration with Third-Party Medical Service Providers - Work with panel doctors, clinics, and third-party medical service providers to establish efficient medical underwriting procedures. - Develop partnerships with external underwriting engines and digital health platforms to expand underwriting capabilities. - Ensure that medical examination processes are seamless, reducing friction for customers while maintaining high-quality risk assessment. Process Optimization & Customer Experience Enhancement - Develop SOPs and workflows for underwriting operations, ensuring best practices are in place from the company's inception. - Identify opportunities to streamline underwriting processes and improve turnaround times. - Ensure a balance between risk management and an enhanced customer experience by minimizing delays and unnecessary medical requirements. Performance Monitoring & Continuous Improvement - Define and track key underwriting performance indicators (KPIs), such as approval rates, processing times, and risk quality. - Implement underwriting audit programs to ensure compliance with company policies and regulatory requirements. - Continuously analyze underwriting outcomes and recommend improvements based on data insights.","Education - Bachelor's or Master’s degree in Business Administration, Finance, Insurance, Actuarial Science, or a related field. - Advanced certifications such as Fellow, Life Management Institute (FLMI), Fellow, Academy of Life Underwriting (FALU), or Chartered Life Underwriter (CLU) are preferred. Experience - Minimum of 7-10 years of life insurance underwriting experience, with strong expertise in medical and financial underwriting. - Experience in setting up underwriting processes, defining guidelines, and implementing automated underwriting models. - Proven ability to work with reinsurance companies to develop underwriting policies and obtain facultative support. - Experience collaborating with IT teams to implement digital underwriting tools and AI-based risk assessment models. - Exposure to bancassurance and an understanding of financial risk profiles within banking ecosystems. Skills & Competencies - Underwriting Strategy & Risk Assessment – Strong ability to develop underwriting principles that balance risk and business growth. - Regulatory & Compliance Knowledge – Deep understanding of Vietnam’s insurance regulations and their application in underwriting. - IT & Data Integration – Experience in defining business requirements for IT teams to build underwriting platforms and automation solutions. - Third-Party Collaboration – Strong negotiation and relationship management skills to work with reinsurance firms, medical service providers, and underwriting technology partners. - Process Optimization & SOP Development – Ability to design workflows and SOPs for efficient underwriting operations. - Data-Driven Decision Making – Expertise in utilizing financial and medical data to drive underwriting enhancements. - Stakeholder Management – Strong communication and leadership skills to work effectively with distribution teams, product development, and IT teams. Personal Attributes - Analytical & Detail-Oriented – Ability to assess complex underwriting cases with accuracy and precision. - Innovative & Strategic Thinker – Ability to develop next-generation underwriting solutions that drive competitive advantage. - Customer-Centric Mindset – Ensures underwriting processes enhance the customer experience while maintaining risk control. - Proactive & Agile – Thrives in a fast-paced startup environment, leading initiatives with minimal supervision. - Leadership & Initiative – Capable of setting up underwriting operations and driving process improvements from day one.",Trưởng nhóm / Giám sát,Nhân viên chính thức,7 - 10 Năm,"Ngân hàng , Bảo hiểm , Tài chính / Đầu tư"
116906 - Machine Learning Engineer - IT software SaaS,"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,97 Tr - 130 Tr VND,26-06-2025,https://careerviet.vn/vi/tim-viec-lam/116906-machine-learning-engineer-it-software-saas.35C4AC15.html,12-07-2025,"['Chế độ bảo hiểm', 'Du Lịch', 'Chế độ thưởng']","- Work Location: Phu Nhuan District, HCMC <Position Objective/Expectation> The Machine Learning Engineer will develop models in machine learning and data science, and build, maintain, and operate the infrastructure to continuously deliver these models to the service. The successful candidate will be expected to develop highly accurate modeling techniques that can leverage our data and provide value to our products, as well as develop stable systems in a team environment. <Job Responsibilities> ・Train, evaluate, and deploy sophisticated machine learning models to enhance the features of our drawing searching system. ・Participate in the full software development cycle: design, develop, QA, deploy, experiment, analyze and iterate ・Collaborate across disciplines and with other ML teams to find technical solutions to solve complex challenges ・Monitor and continuously improve the deployed models. *Examples of anticipated tasks (not limited to) ・Analyze drawing images and develop technology to extract information described on the drawings. ・Construct image recognition models and annotation system ・Study the use of large-scale language models (LLM) and large-scale visual models (LVM). ・Collaborate with data science teams to bring prototype models to production Raise the bar for engineering excellence and delivery <Interest and experience gained from this position> ・Experience in challenging highly difficult technical issues with highly enthusiastic members. ・Experience working with members with expertise in a wide range of areas, including software as well as machine learning. ・Experience in solving problems by taking into account how to develop the value of technology as a business. ・The position is close to MLOps and product management members, so you will be able to expand your work depending on your will.","<Necessary Skill / Experience> ・Business communication skills in English ・7+ years of experience in machine learning and data science for real business/ industry ・Solid knowledge of algorithms related to machine learning, statistics, linear algebra, and computer science ・Experience working with machine learning to solve business problems ・Experience improving the accuracy of machine learning and statistical models ・Proven track record of deploying machine learning models to production environments ・Experience working with cloud services such as Google Cloud and AWS <Preferable Skill / Experience> ・Experience in image recognition, OCR, and 3D analysis ・Experience with GPU-based data processing (CUDA, OpenCL, cudf, CuPy, etc.) ・Experience developing machine learning pipelines using Vertex AI Pipeline, kubeflow, Apache Beam, Spark, etc. ・Experience in development and operation related to distributed processing ・Business level Japanese proficiency <Personality> ・Those who can sympathize with our mission “Unleashing the Potential of the Manufacturing Industry”. ・Those who have a T-shaped ambition mindset to maximize their expertise by not only focusing on back-end and infrastructure but also catching up on peripheral knowledge as needed. ・Those who are able to face essential issues and take action to solve them with a sense of ownership. ・Able to work through positive attitude and constructive discussions in fast-changing and uncertain situations. ・Able to communicate and discuss with an attitude of respect for others, taking into consideration their context and resolution PRODUCT DEVELOPING ENVIRONMENT ・Languages:Front-end: TypeScript, Backend: Rust, TypeScript, Python ・Framework/ Library: Frontend: React, Next.js, WebGL, WebAssembly, Backend: Rust (axum), Node.js (Express, Fastify, NestJS), PyTorch ・Infrastructure: Google Cloud, Google Kubernetes Engine, Anthos Service Mesh ・Database/Data Warehouse: CloudSQL (PostgreSQL), AlloyDB, Firestore, BigQuery ・APIs: GraphQL, REST, gRPC ・Monitoring: Datadog, Sentry, Cloud Monitoring ・Environment construction: Terraform ・CI/CD: Github Actions ・Authentication: Auth0 ・Development tools: GitHub, GitHub Copilot, Figma, Storybook ・Communication tools: Slack, Discord, JIRA, Miro, Confluence NOTICE: Only shortlisted candidates will be approached by RGF's consultant. Your resumes will be recorded in our system, and you will receive our Job Introduction Auto-email with suitable jobs in the coming time. Please check your email regularly to get our vacant job. Thanks so much!",Nhân viên,Nhân viên chính thức,Trên 7 Năm,"CNTT - Phần cứng / Mạng , CNTT - Phần mềm"
Senior R&D Verification Engineer,Sonion Vietnam,Hồ Chí Minh,Cạnh tranh,13-06-2025,https://careerviet.vn/vi/tim-viec-lam/senior-r-d-verification-engineer.35C448AD.html,12-07-2025,"['Chế độ bảo hiểm', 'Du Lịch', 'Phụ cấp']","Summary : Responsible for ensuring a product meets its design specifications, requirements and intended functionality. I. RANGE OF DUTIES: A. Develop verification testing methods Identify product requirements and make sure the product is objectively verified to prove fully accommodation these requirements; verify extreme cases as input for Tolerance Analysis and reduce design or development risk. Develop verification methods with underlying theoretical model and validate the methods actually prove the requirements, functionality and reliability. Play a strong role in Product FMEA by defining risk detection methods in the early phase. B. Accountable for the test plan (test plan and right side A3 in Development report) Together with Product Development engineer, construct test plans for identified knowledge gaps to prove/disprove hypotheses. Take ownership to drive the plan forward by Design of Experiment (DoE) including coordinating resources availability to perform the test (equipment, fixture, jig, software, operator…). Optimize development timeline and cost by balancing risks & effort in test strategies (quick tests, worst case tests) Document Standard Operating Procedure, Test Report templates etc… Train operators to perform test Troubleshoot during test C. Data analysis, proof of requirements: functional and physical compliance Ensure measurement data are reliable for the final Test report. Consolidate model (theory) and measurement data: alignment or be able to identify and explain if there is any offset Provide statistical/data-driven evidence of functional and physical compliance and acceptance Smart use of data as input to Design Review sessions to make conscious decisions on concept selection. D. Others Product risk management: actively contributing to p-FMEA, Requirement Management, Tolerance Analysis Leadership potential to grow the team.","1.Education: Bachelor in Engineering or Technical (ME, EE, Materials, Physics…) or Preferably Master or higher education 2. Professional knowledge of Experience with stage-gate development systems. Experience with development from project definition and kick-off to start of production. Experience performing design verification activities including DoE, authoring test protocols, reports and test execution. Strong statistical skills, preferrably 6-sigma Green Belt or above. Strong verbal and written communication skills. Jig designing skill is a plus. V-model understanding. 3. Knowledge of computer servicing : Minitab / JMP, Python or Matlab and/or data analysis softwares. Solidworks fluency is a plus 4. Well-verbal and written knowledge of English 5. Professional experience: To equal a minimum of 5 years’ experience as a testing / quality engineer or similar, and thorough understanding of product development. To equal a minimum of 2 years’ experience in coaching others Good communication skills with attention to cultural differences. Experience with Lean or Agile product development is preferable",Nhân viên,Nhân viên chính thức,5 - 7 Năm,Sản xuất / Vận hành sản xuất
Manufacturing Quality Support (US Company),SAMTEC VIETNAM COMPANY LIMITED,Đồng Nai,Cạnh tranh,07-06-2025,https://careerviet.vn/vi/tim-viec-lam/manufacturing-quality-support-us-company.35C42EF1.html,06-07-2025,"['Chế độ bảo hiểm', 'Du Lịch', 'Chế độ thưởng']","Essential Functions/ Responsibilities: Quality Ownership – Take shared responsibility for quality metrics within the assigned production area. Cross-Functional Collaboration – Work closely with production supervisors, product, tooling, process, and maintenance techs, as well as Customer Quality Engineers (CQEs) to drive quality prevention and improvement initiatives. Data Analysis & Improvement Planning – Track and monitor quality metrics, analyze data trends, and develop action plans for continuous improvement. Issue Investigation & Resolution – Collaborate with supervisors, engineers, and CQEs to investigate internal and external defects or reported issues, identify root causes, implement corrective actions, and track progress until resolution. Quality Standards Guidance – Provide guidance to operators and supervisors on maintaining quality standards. In-Process Audits (IPA), Inspections, and Floor Walks – Conduct in-process audits per standards and requirements. Perform directed in-process inspections on specific orders, part numbers, or processes as determined by the Quality Department. Verify adherence to product specifications, proper procedures, and data collection requirements for new and existing products (e.g., CQA, ASP, and New Products). Also, lead manufacturing floor walks or Gemba walks. Quality Reporting & Communication – Prepare the End-of-Month (EOM) Quality Update following the standard template. Update weekly quality metrics and share Quality Performance (QPs) updates on the Production Communication Board. Review Board Administration – Serve as the Review Board Administrator, overseeing the review of incoming QPs and ensuring the completion of tasks and effectiveness of implemented actions. Material Containment & Issue Management – Identify and implement containment measures for affected materials when necessary. Product Transfers & Approvals – Support product transfer inspections, approvals, and tracking. Manufacturing Floor Support – Act as a liaison between Manufacturing and other support groups (Tooling, Engineering, Sales, etc.), as well as different manufacturing areas (Plating, Stamping, Molding, Automation, HDR, etc.). Training & Corrective Action Monitoring – Assist in training and monitoring production operators on specific quality concerns. Support documentation and verification of corrective actions. Skills Development – take up new responsibilities assigned by the manager “The responsibilities as defined are intended to serve as a general guideline for this position. Associates may be asked to perform additional tasks depending on strengths and capabilities.”","Preferred 03-year working experience in a QA department. Be able to communicate in English College/ University or related technical or equivalent experience is preferred Be able to use MS Office. Strong data analysis skills and must be data-driven in decision-making and evaluation Effective written and verbal communication skills Collaborative team player; able to work effectively with operators, floor managers, engineers, and cross-functional teams. Work in 3 shifts, rotate every week, Mon-Sat You will get a benefit: Competitive salary 13th-month salary Performance bonus 2 times/year Annual salary review Health insurance for the employee, the employee’s spouse, children, and parents-in-law with a sum insured up to 165 million/year/person Annual company trip Transportation allowance A monthly birthday gift from the Trade Union Gifts on special occasions (Ex: women’s day,…) Bonus on public holidays: International Labor Day, Independence Day… Seniority bonus up to 15 mil 12 annual leaves/year + 11 public holidays/year Training course: Teamwork, Leadership & Communication, Train the Trainer, DNA....",Nhân viên,Nhân viên chính thức,Trên 2 Năm,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh / Điện công nghiệp , Sản xuất / Vận hành sản xuất"
Strategic Business Assistant (Executive Assistant to MD),Công ty TNHH Olam Việt Nam,Hồ Chí Minh,Cạnh tranh,29-06-2025,https://careerviet.vn/vi/tim-viec-lam/strategic-business-assistant-executive-assistant-to-md.35C4CAC0.html,24-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","ofi (olam food ingredients), part of the Olam Group, offers sustainable, natural food products and ingredients, including cocoa, coffee, dairy, nuts, and spices. Operating in Vietnam since 1997, ofi has built a strong presence with its head office in Ho Chi Minh City, along with regional offices and seven major factories across various provinces. As the largest exporter of cashews, pepper, and instant coffee, and among the top exporters of green coffee, ofi Vietnam works closely with a vast network of farmers. With over 4,500 employees, the company is committed to performance, diversity, and talent development. Its ‘ Choices for Change’ strategy targets long-term impact by 2030, focusing on prosperous farmers, thriving communities, climate action, and sustainability. JOB IN SUMMARY We are looking for a highly intelligent, agile, and analytical individual to become the Strategic Business Assistant to the Vietnam’s CEO (MD). This manager-level executive assistant role offers deep exposure to business and operations support across multiple geographies and functions. This is a high-trust position suited for someone who thrives in a fast-paced, high-stakes environment and can adapt to new challenges with maturity, discretion, and business acumen. KEY RESPONSIBILITIES: 1/ Business Data & Strategic Analysis Consolidate and analyze business data across functions and geographies. Extract insights from operational, financial, and commercial datasets to support strategic decisions. 2/ Delegation & Information Management Attend and summarize key meetings, streamline information, synthesize discussions into clear, actionable summaries. Act as a trusted filter of information to streamline the Leader’s priorities. Manage delegated tasks with high ownership and follow-through. 3/ Stakeholder Communication & Coordination Communicate and collaborate with key internal and external stakeholders across functions and regions. Coordinate cross-functional and cross-country interactions smoothly and professionally. Maintain strong follow-up systems to ensure alignment and timely execution of priorities. 4/ Business Tools, Reporting & Presentations Ensure accuracy and consistency of data across reporting platforms. Create sharp, executive-level presentations and reports for internal and external use. 5/ Market & Strategic Project Support Conduct market and competitive research to support potential new ventures and expansion opportunities. Support special projects, business development initiatives, and project management tasks as needed. 6/ Be a flexible, dependable resource to the MD for both strategic and operational matters.","EXPERIENCE AND QUALIFICATIONS Young talented with 3 - 5 years of relevant experience in business analysis, consulting, strategy, or executive support. Strong analytical and data-handling capabilities across varied data sources. Experience working across full ecosystems, with internal stakeholders and cross-professional collaboration Excellent communication, stakeholder management, and presentation skills. Strategic thinker with high adaptability, emotional intelligence, and people sensitivity. Demonstrated discretion in handling confidential information Mobility: Willingness to travel for business and market visits as needed. This role will provide high visibility and exposure for a proactive self-starter with the ability to manage change, drive multiple priorities. You will be mentored directly by the MD and play a pivotal role in shaping business and operations. Our Purpose is to “be the change for good food and a healthy future”. At ofi , we celebrate our diversity. ofi provides equality of opportunity for all persons with respect to hiring without discrimination on the grounds of race, color, religion, national origin, sex, pregnancy, age, disability, veteran status, or sexual orientation. All employment decisions will be based on qualifications, merit, and business needs.",Quản lý,Not available,3 - 5 Năm,"Bán hàng / Kinh doanh , Ngành khác"
Cloud System Engineer (Genesys),CÔNG TY TNHH GALAXY DIGITAL HOLDINGS,Hồ Chí Minh,Cạnh tranh,23-06-2025,https://careerviet.vn/vi/tim-viec-lam/cloud-system-engineer-genesys.35C4B34B.html,16-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Job Overview The Sr. Software Engineer, Genesys Cloud Systems will be responsible for delivering expert-level support for CCaaS (Contact Center as a Service) solutions to Galaxy Connect clients within a managed services environment. This role requires extensive experience in contact center services support, coupled with deep proficiency in at least one leading CCaaS platform such as Amazon Connect, Genesys Cloud CX, Google CCAI, or NICE CXone. As a key member of our support team, you will provide comprehensive administration, troubleshooting, incident management, and proactive support to our external clients. This is a direct client-facing role, demanding a seasoned professional adept at providing application support for CCaaS platforms, messaging platforms, and other cloud or hosted applications as a service. You will serve as a Subject Matter Expert (SME) across multiple CCaaS and messaging platforms, offering both platform operations and support expertise. As a Senior Contact Center and Software Engineer, you will handle direct support, escalation, and resolution for incidents of all severities. You will also be responsible for maintaining accurate client relationship information and Support Desk runbooks, including contacts, processes, and procedures. Regular feedback sessions and Quarterly Business Reviews (QBRs) with clients are essential for maintaining strong client relationships and driving high CSAT scores. This role is critical for ensuring the continuous support of our contracted managed services clients, maintaining high availability, enhancing CSAT scores, and driving sales growth within existing accounts. Key Responsibilities Provide expert-level technical support for CCaaS platforms, resolving complex issues and ensuring optimal performance. Design, configure, and manage cloud contact center processes, including application modifications, workflow adjustments, policy updates, and system integrations (DID numbers/IVR, skill-based routing). Serve as a Subject Matter Expert (SME) in at least one major CCaaS platform (Amazon Connect, Genesys Cloud CX, Google CCAI, NICE CXone). Manage incident resolution, escalation processes, and follow-through to ensure timely and effective problem resolution. Maintain accurate client relationship information and Support Desk runbooks. Conduct regular feedback sessions and QBR meetings with clients to ensure satisfaction and identify areas for improvement. Monitor and analyze operational KPIs, interpret platform reports, and identify opportunities for optimization. Evaluate reporting needs and implement custom reporting solutions as required. Ensure adherence to best practices in solution design, security, and data protection, integrating with core client systems. Integrate AI solutions. Implement AI into existing software systems to enhance functionality and user experience. Conduct software/call center solution testing and support User Acceptance Testing (UAT). Contribute to the development and maintenance of solution requirements. Understand and support the needs and requirements to run a successful contact center solution.","Proven experience in contact center processes and technologies. Strong understanding of IVR, channel flow scripts, CRMs, telecommunications, and skill-based routing. Experience with agent scripting, workforce management, and quality management. Proficiency in interpreting and explaining platform reports and operational KPIs. Hands-on experience with at least one leading CCaaS platform (Amazon Connect, Genesys Cloud CX, Google CCAI, NICE CXone). Hands-on experience in AI development, data analysis, and machine learning techniques. Strong understanding of call center business operations. Excellent problem-solving, communication, and client-facing skills. Proficiency in programming languages like Python, Java, and TensorFlow; Ability to follow best practices in solutioning and security/data protection and integrate with core system client. Experience in conducting software/call center solution testing and supporting UAT.",Nhân viên,Nhân viên chính thức,2 - 3 Năm,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng"
Overseas Ecommerce Executive,Tập Đoàn Karofi Holding,Hồ Chí Minh,17 Tr - 23 Tr VND,24-06-2025,https://careerviet.vn/vi/tim-viec-lam/overseas-ecommerce-executive.35C4A6C5.html,Expire date not found,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Planning Collaborate in building development and promotional plans for customer acquisition across markets. Platform Development in New Markets Conduct market research and analysis to define suitable growth strategies. Co-develop pricing, promotion, and product distribution policies for new markets. eCommerce Advertising Management Set up and manage ad campaigns on platforms like Amazon Ads, Shopee Ads, Google Shopping, etc. Analyze and optimize advertising performance. Data Monitoring & Analysis Track KPIs such as sales, conversion rates, and traffic across eCommerce channels. Use data insights to make business performance recommendations. International Customer Support Coordinate with CRM and customer service teams to address feedback from international customers. Ensure top-tier online shopping experience. Marketing Data Reporting Weekly, monthly, and quarterly campaign performance reports to management. Offer strategic insights based on in-depth analysis. Authority Authorized to make decisions within the role’s scope. Can manage and control advertising budgets for eCommerce platforms. Allowed to propose and implement improvements to campaigns. Requires Management Approval For: eCommerce marketing plans Monthly budget allocation per market","Education & Certification Bachelor’s degree or higher in Marketing, Business Administration, or related fields. Preferred: Amazon Advertising, Google Shopping, or relevant eCommerce certifications. Fluent in English (speaking, reading, writing, listening). Minimum 3 years of experience in eCommerce or Digital Marketing, especially in international markets. Experience with global eCommerce platforms (Amazon, Shopee, Lazada, Alibaba) is a plus. Advantageous to have worked with eCommerce enablers or in-house agencies. Omnichannel experience is a plus. Digital Tools Proficient in Microsoft Office, Shopify, WooCommerce, Amazon Seller Central, etc. Skilled in data tools like Google Analytics, Tableau, etc. Able to leverage AI in daily work.",Nhân viên,Nhân viên chính thức,3 - 7 Năm,Tiếp thị / Marketing
IIoT Automation Engineer,Techtronic Industries Vietnam Manufacturing Company Limited,Hồ Chí Minh,Cạnh tranh,24-06-2025,https://careerviet.vn/vi/tim-viec-lam/iiot-automation-engineer.35C4B5C4.html,30-09-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Under minimal direction, the IIoT engineer serves as a liaison between New Technology Development and Operations. The IIoT engineer is responsible to lead the design, development and delivery of integration system, data connectivity, supervisory and data acquisition system (or SCADA), digitalization solution to support production strategy and production roadmap. This position facilitates the modernization initiatives with Process Engineering and Manufacturing teams to successfully launch new products, on time and on budget. This role is a fundamental part of our Manufacturing engineering team located in a fast-paced manufacturing environment. We are looking for a self-motivated individual with proven integrated system design experience, passion in new technology application, as well as someone who exhibits the drive for continuous improvement. 1. IIoT Project Management: - Attend improvement meetings, work with the Operations Team to develop action plans for new IIoT solution, system integration, data connectivity and scheduling needs. - Coordinate development plan and follow up actions, including but not limited to design, prototyping, trialing and pilot run. - Develop and maintain Gantt Charts, Project Schedule, Risk Assessment, and Contingency plans - Develop agendas to facilitate and document project meetings, and update project status to leadership. - Manage suppliers of capital solutions regarding cost, timing and budget of each project. 2. IIoT Technology Development - Have ability to conduct research, development, and implementation of new IIoT technologies , IIoT platforms and IIoT equipment/devices to improve manufacturing visibility, reduce cost, improve quality, reliability and stability. - Have ability to build real prototypes to confirm feasibility as well as implementation time/cost estimates and test proposed implementation processes. - Conduct system testing and buy-off as well as data validation. - Have capability to use CAD to design an embedded/ integration system, or electrical schematics. - Have capability to use PLC, HMI, computer-based and cellphone-based language to program automatic equipment, integration system. 3. Analysis and Continuous Improvement - Possess a systematic as well as creative approach to problem solving process - Assist with risk assessment analysis, Kaizen activities, visual management, 5S... - Understand well financial impacts of problem and solution - Perform a wide variety of calculations and analysis using software.","- Bachelor's degree in Automation Control Engineering, Electrical & Electronics Engineering - Minimum two years related experience in design and implementation of IIoT Integrated System (most preferable), data connectivity, digitalization solution in manufacturing or an equivalent industrial environment - Minimum one-year project management experience. - Experience in Industrial Embedded System, Integrated Control System, and/or SCADA system. Specialty in Software and Electrical Design, IIoT and Digitalization. - CAD Proficient with electrical schematics design ability. - Programming Proficiency Automation System, IIoT, Factory Automation (PLC, HMI, C#/Python) - From intermediate English skills in both written and verbal communication. - Being eager to learn, willing to promote innovative course by the ability to develop agile decision-making and grasp technical concepts quickly. - Self-starter with sense of urgency, a team player with excellent communication skills.",Nhân viên,Nhân viên chính thức,2 - 5 Năm,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh / Điện công nghiệp"
Senior Accountant Specialist (Asset Management),CÔNG TY CỔ PHẦN SỮA QUỐC TẾ LOF,Hồ Chí Minh,Cạnh tranh,25-06-2025,https://careerviet.vn/vi/tim-viec-lam/senior-accountant-specialist-asset-management.35C4C8CE.html,31-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Monitor, manage, and perform accounting operations related to assets and equipment in the company and factories. Determine the depreciation period of fixed assets (according to the state regulations), calculate depreciation of fixed assets, and transfer monthly depreciation data to each department for accounting. Periodically check, control, and summarize reports, evaluate the use of assets and equipment, and review and plan periodic maintenance, and repair. Develop regulations and rules for asset management Manage asset liquidation and transfer Other tasks assigned by direct management. Cooperate with the line manager or support information for another department.","Bachelor of Finance/ Accounting. At least 4 - 7 years of experience in the same level and analysis of manufacturing asset management. Experience in managing machinery and equipment Experience using ERP, SAP accounting software Good English skills (speaking and writing). Good MS Office (Excel, PowerPoint, SAP, Microsoft Power BI) Ability to work independently and in a team, manage time, and teamwork. Carefully, exactly, and proactive in work. Open-minded, and sensitive to data. Able to travel a lot (Cu Chi; Bau Bang - Binh Duong; Ba Vi).",Nhân viên,Nhân viên chính thức,3 - 5 Năm,Kế toán / Kiểm toán
Back-End Engineer Expert (Java),FE CREDIT,Hồ Chí Minh,"1,000 - 3,000 USD",28-06-2025,https://careerviet.vn/vi/tim-viec-lam/back-end-engineer-expert-java.35C482E8.html,27-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","Job Description Design, develop, and maintain scalable back-end solutions using Java Spring Boot and Microservices architecture. Collaborate with cross-functional teams to ensure seamless integration of front-end and back-end components. Work with databases, particularly PostgreSQL, to ensure efficient data storage and retrieval. Work with delivery teams to achieve success through development using CI/CD and DevOps practices, processes, and tooling. Stay updated on industry best practices and emerging technologies to continuously enhance our development processes.","A Bachelor's in Computer Science, Information Technology, or a related field is required. Over 6 years of proven experience as a Back-End Developer, At least 5 years of experience with Java frameworks (including Spring Boot). Strong knowledge of database management systems, such as PostgreSQL, SQL Server, MySQL, etc. Proficiency in SQL queries and database programming languages. Familiarity with database performance tuning and optimization strategies Experience with cloud-based solutions, particularly AWS. Hands-on experience with AWS services (EKS, CloudWatch, RDS). Strong understanding of software architecture principles and design patterns. Excellent problem-solving and analytical skills. Strong knowledge of Data Structures and Algorithms Hands-on experience with creating configuration, building, and test scripts for Continuous Integration environments.",Nhân viên,Nhân viên chính thức,5 - 10 Năm,"Ngân hàng , CNTT - Phần mềm"
Senior Product Owner,DatVietVAC Group Holdings,Hồ Chí Minh,Cạnh tranh,09-06-2025,https://careerviet.vn/vi/tim-viec-lam/senior-product-owner.35BC00EF.html,08-07-2025,"['Laptop', 'Chế độ bảo hiểm', 'Du Lịch']","· Be responsible for the user flows of features from wireframing to PRD · Research and specify new features and enhancements to existing features. Document the requirements via well defined specifications and review with the team and stakeholders · Collect, analyze and report on data and make adjustments to product features & development plans as needed to facilitate a successful new product rollout. · Collaborate with developers to implement the features ( provide PRD, present the user flow to developers to ensure the same understanding, Q&A during the development) · Collaborate with UIUX designers for the discovery and design phases of a feature · Create, monitor, and evaluate the impact of experiments using a combination of analytical tools & research methods","· Experience with B2C platform ( mobile app, Website, SmartTV) · Strong in UX/UI to be able to support the team. · Logic thinking, Passion for conceiving, creating and designing useful, innovative products · Proven ability at wireframing & creating PRD · Comfortable with Data and Analysis ( GA, firebase…) · Minimum of 3 years of product development experience · Highly organized · R&D · Problem solving · Working well as a team member in a fast-paced, agile environment.",Nhân viên,Nhân viên chính thức,3 - 4 Năm,"CNTT - Phần mềm , Truyền hình / Báo chí / Biên tập , Quảng cáo / Đối ngoại / Truyền Thông"
